system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Byzantine,Byzantine A,Star,G,5874.0,700402944.0,4.931061,1.046875,G,V
ICZ FW-V b2-1,ICZ FW-V b2-1,Star,M,2566.0,367192064.0,9.743454,0.320313,M,Va
Alpha Reticuli,Alpha Reticuli,Star,G,4523.0,11220476928.0,-0.145386,0.832031,G,III
Col 285 Sector EA-W b16-0,Col 285 Sector EA-W b16-0,Star,M,2655.0,304005312.0,10.005493,0.261719,M,Va
Synuefe AN-X b48-5,Synuefe AN-X b48-5 A,Star,M,2259.0,285157536.0,10.846161,0.234375,M,Va
Synuefe DN-X b48-5,Synuefe DN-X b48-5,Star,M,2758.0,321070208.0,9.721542,0.339844,M,Va
Synuefe AL-N c23-10,Synuefe AL-N c23-10,Star,K,4817.0,653516992.0,5.755478,0.804688,K,Va
35 G. Carinae,35 G. Carinae,Star,K_OrangeGiant,4288.0,9608524800.0,0.423248,0.714844,K_OrangeGiant,III
Synuefe CL-N c23-3,Synuefe CL-N c23-3 A,Star,K,4060.0,501885760.0,7.071564,0.523438,K,Va
Synuefe BN-H d11-73,Synuefe BN-H d11-73,Star,G,5693.0,654769216.0,5.025513,0.902344,G,Vab
Synuefe DA-P c22-5,Synuefe DA-P c22-5,Star,K,4314.0,501843296.0,6.808121,0.570313,K,Vab
Synuefe CN-H d11-47,Synuefe CN-H d11-47,Star,G,5715.0,786173056.0,4.61145,1.078125,G,Vab
Synuefe GA-P c22-3,Synuefe GA-P c22-3,Star,G,5306.0,562631616.0,5.660736,0.753906,G,Vab
Synuefe PA-E b45-4,Synuefe PA-E b45-4 A,Star,M,2431.0,300397056.0,10.414307,0.273438,M,Va
Synuefe GI-H d11-65,Synuefe GI-H d11-65,Star,F,7209.0,928359104.0,3.241562,1.375,F,Vb
Synuefe XV-D b45-5,Synuefe XV-D b45-5 A,Star,M,2866.0,346370368.0,9.389908,0.328125,M,Va
Col 173 Sector QP-F b27-2,Col 173 Sector QP-F b27-2 A,Star,M,2836.0,316612928.0,9.630737,0.300781,M,Va
Col 173 Sector JP-D c13-4,Col 173 Sector JP-D c13-4 A,Star,TTS,3782.0,539199232.0,7.223923,0.59375,TTS,Va
HD 63154,HD 63154 A,Star,A,12064.0,1456606208.0,0.67276,3.214844,A,V
Praea Euq UW-A c27-14,Praea Euq UW-A c27-14 A,Star,K,4699.0,598459392.0,6.054382,0.714844,K,Va
Praea Euq XQ-W b56-8,Praea Euq XQ-W b56-8 A,Star,M,3039.0,338326112.0,9.186356,0.367188,M,Va
Praea Euq XQ-W b56-8,Praea Euq XQ-W b56-8 B,Star,L,1951.0,208790064.0,12.159973,0.164063,L,V
Praea Euq PJ-A b55-3,Praea Euq PJ-A b55-3,Star,TTS,2551.0,412804512.0,9.514603,0.390625,TTS,Va
Praea Euq QV-C c26-4,Praea Euq QV-C c26-4,Star,K,4170.0,550724416.0,6.753723,0.636719,K,Va
Praea Euq ZJ-J b50-1,Praea Euq ZJ-J b50-1,Star,M,3466.0,428850592.0,8.100266,0.417969,M,Va
HR 6164,HR 6164 A,Star,O,34804.0,597546752.0,-2.638931,43.5625,O,I
HR 6164,HR 6164 D,Star,H,0.0,51186.765625,20.0,17.351563,H,VII
Praea Euq GC-D d12-40,Praea Euq GC-D d12-40 A,Star,N,3656372.0,10578.125,5.090546,0.863281,N,VII
NGC 6124 Sector RE-H b10-1,NGC 6124 Sector RE-H b10-1 A,Star,M,2872.0,353417024.0,9.337112,0.386719,M,Va
NGC 6124 Sector HD-A b14-5,NGC 6124 Sector HD-A b14-5,Star,M,2697.0,357173856.0,9.587234,0.304688,M,Va
Blu Thua IK-H b10-2,Blu Thua IK-H b10-2,Star,M,2702.0,298656608.0,9.967804,0.277344,M,Va
Blu Thua WN-A b14-2,Blu Thua WN-A b14-2 A,Star,M,2616.0,320560800.0,9.954605,0.285156,M,Va
Blu Thua WN-A b14-2,Blu Thua WN-A b14-2 B,Star,L,1867.0,249414688.0,11.965012,0.183594,L,V
Blu Thua MM-T b17-0,Blu Thua MM-T b17-0 A,Star,M,2611.0,335418272.0,9.864502,0.277344,M,Va
Blu Thua ZZ-G c10-8,Blu Thua ZZ-G c10-8,Star,K,4023.0,481233824.0,7.202606,0.550781,K,Va
Blu Thua ND-H b24-0,Blu Thua ND-H b24-0 A,Star,M,2898.0,405630496.0,8.998657,0.363281,M,Va
Blu Thua FW-N d6-54,Blu Thua FW-N d6-54 A,Star,F,6887.0,745888064.0,3.915375,1.1875,F,VI
Blu Thua LZ-U b30-2,Blu Thua LZ-U b30-2 A,Star,M,3071.0,393107744.0,8.814911,0.347656,M,Va
